Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Maddalena-Luca-AE-5381-001 & ME-5381-001-BOUNDARY LAYERS,5,5,5,5,5
Maddalena-Luca-AE-5383-001-Hypersonic Flow,5,5,5,5,5
Madu-Christian-CHEM-2321-001-ORGANIC CHEMISTRY,3.6591,4.1591,3.3721,3.8409,3.2045
Magnusson-Robert-EE-4328-001-CURRENT TOPICS ELECTRICAL ENGR & ENGR-4302-001 ENGR-5302-001/002-ENGINEERING ENTREPRENEURSHIP,4.5385,4.5385,4.3846,4.4615,4.2308
Mahapatra-Puspa-INSY-2303-001-INTRO TO MIS/DATA PROCESSING,3.275,3.6,2.7692,3.3077,3.5526
Mahapatra-Radha-INSY-5335-001-APPLIED DATABASE MANAGEMENT,4.3571,4.4286,4.2143,4.2857,4.0714
Mahapatra-Radha-INSY-5337-001-DATA WAREHOUSE AND BUS INTELL,3.9412,3.9412,3.5882,3.5294,3.5294
Mahapatra-Radha-INSY-5350-040-HEALTH CARE INFO SYSTEMS,3.931,3.9655,3.8621,4.1724,4.3103
Mahapatra-Radha-INSY-5375-071-MANAGEMENT OF INFO TECH,4.2,4.2,4.2,4,4.4
Mahbub-Mst-BIOL-1441-017-CELL MOL BIOL,3.125,3.875,2.5,2.75,4
Mahbub-Mst-BIOL-1441-020-CELL MOL BIOL,3.375,3.875,2.625,3.5,3.75
Maher-Dennis-THEA-3309-002-SCRIPT ANALYSIS,5,5,5,5,5
Maher-Dennis-THEA-4303-001-CLASSICAL THEATRE HISTORY,4.7273,4.8182,4.8182,4.6364,4.6364
Mahon-Sarah-BIOL-3427-003-PLANT SCIENCE,4.4,4.8,4,4.75,4.8
Mahon-Sarah-BIOL-3427-005-PLANT SCIENCE,3.5,3.5,3.375,3.875,4
Mahoney-Jean-Patrick-ART-2304-005-DIGITAL DESIGN,4.2,4.8,4.2,4.2,4
Malaia-Evguenia-EDUC-5360-001-INTRO TO MIND BRAIN & EDUC,4.625,5,5,4.875,5
Malaia-Evguenia-EDUC-5367-001-RESEARCH IN MIND BRAIN EDUC,4.8,5,4.8,5,5
Malalur Nagaraja Rao-Smitha-MAVS-1000-031-First Year Experience,4.45,4.65,4.55,4.5,4.5
Maleku-Arati-SOCW-5322-004-RESEARCH AND EVALUATION I,4.4,4.2,4,4.2,4.5
Malyuta-Yaroslav-ENGL-1302-012-RHETORIC AND COMPOSITION II,4.5,4.7,4.5,4.1,4.3
Mancini-Mary-NURS 4300.500 & NURSU 4300.500 COOPERATIVE NURSING WORK EXPERIENCE,4.4615,4.5,4.5714,4.6429,4.5714
Mancini-Mary-NURS-4300-501 & NURSU 4300-501 COOPERATIVE NURSING WORK EXPERIENCE,4.75,4.875,4.875,4.75,4.875
Mancini-Mary-NURS-EL 3300.500 & NURSU 3300.500 COOPERATIVE NURSING WORK EXPERIENCE,4.4286,4.4286,4.5143,4.4706,4.4688
Mancini-Mary-NURS-EL-3300-501 & NURSU 3300.501 COOPERATIVE NURSING WORK EXPERIENCE,4.3455,4.4364,4.3519,4.4074,4.4545
Mancini-Mary-NURS-EL-3300-502-NURSU-3300-502-CO-OP NURSING WORK EXPERIENCE,4.4839,4.3871,4.4194,4.4516,4.4194
Mandal-Subhrangsu-CHEM-4313-001 & CHEM-5321-001-METABOLISM AND REGULATION,4.6,4.6,4.6,4.6,4.4
Mandal-Subhrangsu-CHEM-6102-001-ISSUES IN MODERN CHEM RESEARCH,4.6667,4.6667,4.6,4.5333,4.6
Manegold-Jenny-MANA-3318-002-MANA ORG BEHAV,4.7333,4.8333,4.7667,4.5333,4.7
Manegold-Jenny-MANA-3318-005-MANA ORG BEHAV,4.5484,4.6452,4.6774,4.5161,4.6452
Manegold-Jenny-MANA-3319-005-MGT PROCESS THEORY,4.6471,4.7059,4.6471,4.5882,4.6364
Mann-Martha-PSYC-3310-700-DEVELOPMENTAL PSYCHOLOGY,4.7143,4.6571,4.5588,4.6286,4.5429
Mann-Martha-PSYC-3310-701-DEVELOPMENTAL PSYCHOLOGY,4.2821,4.2051,4.2051,4.1795,4.1795
Mann-Whitney-BIOL-1334-005-INTRODUCTION TO BIOLOGY II,3.625,3.875,3.375,3.75,4.25
Mann-Whitney-BIOL-1334-006-INTRODUCTION TO BIOLOGY II,4.8,4.8,4.8,4.6,4.4
Mann-Whitney-BIOL-1334-007-INTRODUCTION TO BIOLOGY II,4.1429,4.7143,3.8571,4.1429,4.4286
Manry-Michael-EE-3417-001-CONTINUOUS SIGNALS AND SYSTEMS & EE-3317-001-LINEAR SYSTEMS,2.7647,2.9412,2.1176,2.4706,2.9412
Manry-Michael-EE-3417-101-CONTINUOUS SIGNALS AND SYSTEMS,4.25,4.25,4.75,5,4.75
Manry-Michael-EE-3417-102-CONTINUOUS SIGNALS AND SYSTEMS,2.625,2.875,2.5,2.875,2.875
Manry-Michael-EE-5350-001/002 & EE-4318-001-DIGITAL SIGNAL PROCESSING,3.8913,4.087,3.6522,3.587,3.5652
Manry-Michael-EE-5353-001/002-NEURAL NETWORKS,4.4,4.6,4.4,3.8,4.4
Marchand-Jeffrey-ENGL-1301-015-RHETORIC AND COMPOSITION I,4.8571,4.5714,4.5714,4.5714,5
Marchand-Jeffrey-ENGL-1301-092-RHETORIC AND COMPOSITION I,4.5,4.5,4.5,4.5,4.5
Marcos-Yoseph-CHEM-1441-003-GENERAL CHEMISTRY I,3.1667,3.7222,2.7778,3.2222,2.8333
Marcos-Yoseph-CHEM-1465-001-CHEMISTRY FOR ENGINEERS,3.4062,3.625,3.0781,3.1719,3.3016
Marcos-Yoseph-CHEM-1465-002-CHEMISTRY FOR ENGINEERS,3.7143,4,3.5366,3.6341,3.575
Mariboho-Rachael-ENGL-1302-023-RHETORIC AND COMPOSITION II,4.5,5,4.5,4.5,4.5
Mariboho-Rachael-ENGL-2329-018-AMERICAN LITERATURE,4.35,4.4737,4.4,4.4211,4.55
Mariottini-Gian-Luca-CSE-1310-001-INTRO COMPUTERS & PROGRAMMING,4,3.8462,3.7692,4.0769,4.0769
Mariottini-Gian-Luca-CSE-5369-001 & CSE-4392-001-SPEC TOPS INTELLIGENT SYSTEMS,4.6,4.7,4.9,4.9,4.9
Mark-Richard-ACCT-3311-003-FINANCIAL ACCOUNTING I,4.3333,4.3333,4.1667,4.6667,4.1667
Mark-Richard-ACCT-5380-001-ETHICS IN ACCOUNTING,2.7857,3.9286,3.5,4.0714,4
Mark-Richard-MANA-5337-002-ETHICS & BUSINESS ENVIRONMENT,3.25,3.75,3.5833,4.0833,3.6667
Markham Shaw-Charla-COMS-3315-001-COMMUNICATION FOR EDUCATORS,4.8889,5,4.8889,4.8889,4.8889
Marquardt-Dennis-MANA-3318-012-MANA ORG BEHAV,4.8286,4.8,4.7429,4.7429,4.7714
Marquez-Claudia-BIOL-1333-001-INTRO TO BIOLOGY I,4.6667,4.6667,4.5833,4.4583,4.4583
Marquez-Claudia-BIOL-1333-002-INTRO TO BIOLOGY I,4.3636,4,4.0909,3.8182,4.3636
Marquez-Claudia-BIOL-1441-001 & BIOL-1341-001-CELL AND MOLECULAR BIOLOGY,4.058,4.2174,3.913,3.9265,4.3623
Marshall-Shannon-MAVS-1000-048-First Year Experience,4.875,5,4.875,4.875,4.875
Martin-Gyde-ENGL-2319-007-BRITISH LITERATURE,4.25,4.6667,4.25,4.25,4.1667
Martin-Gyde-ENGL-2384-001-STRUCTURE MODERN ENGLISH,4.4545,4.7273,4.4545,4.4545,4.2727
Martin-Gyde-ENGL-2384-002-STRUCTURE MODERN ENGLISH,4.375,4.875,4.25,4.125,4.375
Martin-Gyde-ENGL-3362-001-HISTORY OF WORLD LIT II,3.9091,4.9091,4.1818,4.4545,4.4545
Martin-Leisa-EDML-4300-002-ADOLESCENT GROWTH/DEVELOPMENT,4.9,5,4.8421,4.9,5
Martin-Leisa-EDUC-4342-001-APPS OF INSTRUC-SECNDRY CLSRMS,5,4.8889,4.8889,4.7778,4.7778
Martin-Leisa-EDUC-4342-002-APPS OF INSTRUC-SECNDRY CLSRMS,5,5,5,5,5
Maruszczak-John-ARCH-4345-001-DIGITAL CONSTRUCTION,4,3.8,3.8,4.2,4.2
Maruszczak-John-ARCH-4556-001-DESIGN STUDIO: ARCH III,5,5,5,5,5
Maryol-Gladys-NURS-3352-500-NURSU-3352-500-THE LEGACY OF THE FAMILY,4.2254,4.2429,4.1268,4.169,4.1972
Maryol-Gladys-NURS-4455-500-NURSU-4455-500-RN-BSN NURSING MANAGEMENT,4.1233,4.1528,4.0137,4.1507,4.0429
Mason-Melanie-BCMN-3355-001-BROADCAST ANNOUNCING,3.5714,3.8571,4,4.2857,4.2857
Mason-Melanie-COMS-3323-001-ORAL INTERP OF CHILDREN'S LIT,3.8333,4,4.3333,4.5,4.1667
Masters-Bradly-OPMA-3306-005-OPERATIONS MANAGEMENT,4.25,4.0625,4.125,4.3125,4.1875
Mastriania-Anthony-MATH-2425-101-CALCULUS II,4.3333,4.3333,4.3333,4,4.3333
Mastriania-Anthony-MATH-2425-102-CALCULUS II,4.1667,4.1667,4,4,4.1667
Matheson-Neill-ENGL-3300-001-TOPICS IN LITERATURE,4.2222,4.4444,4.5,4.4444,4.4444
Matheson-Neill-ENGL-3340-003-HISTORY OF AMERICAN LITERATURE,4.1111,4.2222,4,4.2222,4.5556
Matheson-Neill-ENGL-4399-002-SENIOR SEMINAR,4.6667,4.6667,5,4.6667,5
Mathur-Aakrati-SOCW-5304-003/004-GENERALIST MICRO PRACTICE,3.6429,3,2.5714,2.8571,3.1429
Mathur-Aakrati-SOCW-5304-006-GENERALIST MICRO PRACTICE,4.3333,4.1667,4.1667,4,4.5
Mathur-Aakrati-SOCW-6389-003/004-Brain and Behavior,3.0833,2.8333,2.9167,3.1667,3.5833
Matsler-Karen-BIOL-3310-031 / GEOL-4305-031 / CHEM-4392-031 / PHYS-4391-031-SPECIAL TOPICS,4,4,4,4.4,3.75
Matsler-Karen-BIOL-3310-032 / GEOL-4305-032 / CHEM-4392-032 / PHYS-4391-032-SPECIAL TOPICS,4,3.7143,3.7143,4.2857,4.1429
Matsler-Karen-SCIE-4107-001-STUDENT TEACHING SEMINAR,3.1667,3.8333,3,3.3333,3.5
Matsler-Karen-SCIE-4192-001-SEL TOP SCI,1,4,1,1,2
Matsler-Karen-SCIE-4607-001-STUDENT TEACH SECONDARY GRADES,3,4.3333,3.5,3.5,3.5
Matthews-Jeff-ACCT-5366-001-FRAUD EXAMINATION,4.5,4.5,4.7,4.7,4.1
Mattingly-Stephen-CE-3110-001-CE COMMUNICATIONS,3.6875,3.8125,4.0667,4.125,4.125
Mattingly-Stephen-CE-4311-001 & CE-5337-001 / 002-URBAN TRANSPORTATION PLANNING,3.5,3.75,3.375,3.8,3.8
Mcalpine-Stephanie-MAVS-1000-070-First Year Experience,4.1875,4.3125,4.3125,4.25,4.4375
McCarthy-Hope-ENGL-1301-094-RHETORIC AND COMPOSITION I,4.25,4.5625,4.25,4.0625,4.625
McCarthy-Hope-ENGL-1301-096-RHETORIC AND COMPOSITION I,4.2667,4.4667,4.4667,4.4667,4.4667
Mcclean-Bethany-NURS-5631-005-ADV CLINICAL NURSING PRACTICUM,5,5,5,5,5
Mcclean-Bethany-NURS-5631-007-ADV CLINICAL NURSING PRACTICUM,5,5,5,5,5
Mccollom-Neal-IE-2308-002-ECONOMICS FOR ENGINEERS,4.5833,4.5,4.4167,4.4167,4.3333
Mcconnell-Donald-ACCT-4318-001-AUDITING,4.4444,4.875,4.1111,4.5556,4
Mcconnell-Donald-ACCT-5133-001 & ACCT-3133-001-PROFESSIONALISM IN ACCOUNTING,4.2222,4.2222,4.1667,4.1667,4.2222
Mcconnell-Donald-ACCT-5318-001-STUDIES IN AUDITING,4.1818,4.4545,3.9545,4.2273,4.2273
Mccormick-Rene-SCIE-3301-001-PHYSICAL SCIENCE - PHYSICS,4.7,4.7,4.7,4.7,4.7
Mccown-Julie-ENGL-1301-058-RHETORIC AND COMPOSITION I,4.5556,4.7778,4.3333,3.7778,4.6667
Mccown-Julie-ENGL-2329-014-AMERICAN LITERATURE,4.3333,4.4444,4.2778,4.1944,4.4167
Mcdonald-Sharmila-ACCT-2301-001-PRINCIPLES OF ACCOUNTING I,4.25,4.65,4.1,4.5,4.6
Mcdonald-Sharmila-ACCT-2301-002-PRINCIPLES OF ACCOUNTING I,4.125,4.4167,4.25,3.875,4.375
Mcdonald-Sharmila-ACCT-2301-005-PRINCIPLES OF ACCOUNTING I,4.5789,4.7895,4.5789,4.4737,4.6316
Mcdonald-Sharmila-ACCT-2301-009-PRINCIPLES OF ACCOUNTING I,4.5,4.75,4.6875,4.8125,4.75
Mcdonough-Paul-KINE-3300-001-FUNCTIONAL ANATOMY,3.9048,3.8571,3.4762,3.9048,3.8571
Mcdonough-Paul-KINE-3325-002-UNDERGRADUATE RESEARCH METHODS,3.0714,3.1429,3.1429,3.7857,3.5
Mcdonough-Paul-KINE-5320-001-ADV PHYSIOLOGY OF EXERCISE,4.2,4.4,4.4,4.6,4
Mceuen-Roby-COMM-3303-001-COMMUNICATION GRAPHICS,4.2143,4.2143,4.2143,4.7143,4
Mceuen-Roby-COMM-3303-002-COMMUNICATION GRAPHICS,4.3571,4.2143,4.2308,4.1429,4.2857
Mceuen-Roby-COMM-3303-003-COMMUNICATION GRAPHICS,4.375,4.375,4.125,4.5,4.125
Mceuen-Roby-COMM-3303-004-COMMUNICATION GRAPHICS,4.1,4.4,3.8,4.1,4.3
Mcfadyen-Margaret-MANA-5336-001-STRATEGIC MANAGEMENT,4.625,4.5,4.5,4.75,4.4375
Mcfadyen-Margaret-MANA-5337-020-ETHICS & BUSINESS ENVIRONMENT,3.8571,4.1429,3.8333,4.5714,4
Mcgee-Jeffrey-HCAD-5390-050-STRATEGIC MGMT HEALTH CARE ORG,4.875,4.875,4.625,4.75,4.75
Mcgee-Jeffrey-MANA-5336-002-STRATEGIC MANAGEMENT,4.8889,4.7778,4.8889,4.8889,4.8889
Mcgee-Jeffrey-MANA-5336-020-STRATEGIC MANAGEMENT,4.6,4.7,4.8,4.8,4.6
Mcgee-Jeffrey-MANA-5336-070-STRATEGIC MANAGEMENT,3,3.3333,3.3333,3,3
Mcgee-Melanie-ACCT-5302-001-ACCOUNTING ANALYSIS II,4.0857,4,3.8,4.1429,4.2353
Mcghee-Tammy-SOCW-5310-006-MICRO-MACRO PRACT FIELD SEM & SOCW-5551-002-APPLIED SOCIAL WORK PRACTICE I,4.5714,4.4286,4.5714,4.7143,4.8571
Mcghee-Terra-ACCT-2302-004-PRINCIPLES OF ACCOUNTING II,4.3846,4.4615,4.2308,4.7692,4.4615
Mcghee-Terra-ACCT-3309-004-ACCOUNTING FOR MANAGERS,4.8966,4.8966,4.7931,4.6897,4.8621
Mcghee-Terra-ACCT-3312-002-FINANCIAL ACCOUNTING II,4.6316,4.7368,4.5789,4.6316,4.7368
Mcghee-Terra-ACCT-4393-001-ACCOUNTING INTERNSHIP,4.6,3.8,4.6,4.8,4.8
Mcghee-Terra-ACCT-5399-001-GRADUATE ACCOUNTING INTERNSHIP,5,5,5,5,5
Mcguire-Christopher-MUSIC PRIVATE LESSONS,5,4,4.6667,5,4.3333
Mcintosh-Cheryl-MANA-3319-001-MGT PROCESS THEORY,4.6071,4.4643,4.5,4.1429,4.5357
Mckeown-Barry-KINE-3315-001-PHYSIOLOGY OF EXERCISE,4.3333,4.5556,4,4.3889,4.2778
Mckeown-Barry-KINE-3315-002-PHYSIOLOGY OF EXERCISE,4.1111,4.2778,4.0556,4.2778,4.2778
Mckeown-Barry-KINE-5300-001-RSRCH METHODS IN KINESIOLOGY,3.1,3.3,2.9,3.8,3.3
Mclaughlin-Bethany-MAVS-1000-020-First Year Experience,4.6667,4,4.5,4,4.6667
Mclean-Janet-NURS 3325.500 & NURSU 3325.500 RN-BSN HOLISTIC CARE OF THE OLDER ADULT,4.3333,4.3793,4.3051,4.3559,4.2373
Mclean-Janet-NURS-3261-001-NURSING OF OLDER ADULTS,4.7222,4.7222,4.6667,4.5882,4.5556
Mclean-Janet-NURS-3261-002-NURSING OF OLDER ADULTS,4.5882,4.6471,4.5294,4.5294,4.4118
Mclean-Janet-NURS-3325-201-RN-BSN HOLISTIC CARE OLDER ADU,5,5,5,5,5
Mclean-Janet-NURS-3325-501-NURSU-3325-501-RN-BSN HOLISTIC CARE OLDER ADU,4.5,4.5256,4.4872,4.5513,4.4868
Mclean-Janet-NURS-4455-201-RN-BSN NURSING MANAGEMENT,4.5714,4.5714,4.4286,4.1429,4.2857
McMullen-Richard-GEOL-3340-001-GEOLOGY FOR ENGINEERS & EVSE-5311-001-ENVR SYS GEOLOGICAL ASPECTS,4.0455,4.2273,4,4.1818,4.3636
Mcquillan-James-BIOL-1333-008-INTRO TO BIOLOGY I,4,5,5,5,5
Mcquillan-James-BIOL-1441-011-CELL MOL BIOL,4.1667,4.3333,4.1667,4.1667,4.1667
Mcquillan-James-BIOL-1441-014-CELL MOL BIOL,4.5,4.6667,4.5,4,4.5
Mcspadden-Joni-NURS-4325-502-RN-BSN NURSING RESEARCH,3.7534,3.8219,3.6438,4.1268,4.0694
Mcwilliams-R-ART-4363-001-STUDIO PHOTOGRAPHY,4.5,4.75,4.5,4.75,4.75
Mcwilliams-R-ART-4392-009-SPECIAL STUDIES,4,4.5,4.5,4.5,4.5
Mcwilliams-Victoria-MAVS-1000-036-First Year Experience,4.75,4.75,4.75,4.5,4.75
Mehta-Madan-ARCH-3323-001-CONSTRUCTION MATERIALS/METHODS & ARCH-5323-001-CONSTRUCTION I,3.8889,4.0278,3.4857,3.4444,3.7222
Mehta-Madan-ARCH-5333-001-CONSTRUCTION II,4.5556,4.5556,4.3333,4.8889,5
Meiners-Roger-BLAW-5330-002-LEGAL ENVIRON OF BUSINESS,4.6,5,4.8,4.6,4.6
Meiners-Roger-BLAW-5330-070-LEGAL ENVIRON OF BUSINESS,4,3.6667,4.5,4,4
Meiners-Roger-ECON-5311-020-ECONOMIC ANALYSIS,4.5,4.6667,4.1667,4.1667,4.3333
Meiners-Roger-ECON-5311-070-ECONOMIC ANALYSIS,4.2,4.2,4,4,3.8
Meletis-Efstathios-MSE-5193-001-MATL SEMINAR,3.6667,3.7778,3.7778,3.7778,3.7778
Melito-Janice-ART-3363-001-CLAY,4.5,4.5,4.25,4.5,4.5
Melito-Janice-ART-3363-002-CLAY,5,5,5,4.6667,4
Melton-Janet-EDUC-4316-002-FOUNDATIONS OF EDUCATION,3.7895,4.1579,3.8421,4.1111,3.8333
Melton-Janet-EDUC-4316-004-FOUNDATIONS OF EDUCATION,3.9412,3.8824,4,4.0588,3.9412
Melton-Janet-ELED-5315-001-Practicum,4.5,3,2.5,4,1.5
Melton-Janet-ELED-5317-001-Theories Child Dev Lrng,4.2,3.8,3.8,4.4,4.2
Melton-Janet-ELED-5318-001-Foundations EC6 Education,4.2,4,4.4,4.2,4.2
Mengo-Cecilia-SOCW-3301-003-HUMAN BEHAVIOR & SOCIAL ENVIRO,4.2308,4.2308,4.3077,4.3077,4.4615
Mengo-Cecilia-SOCW-3301-008/009-HUMAN BEHAVIOR & SOCIAL ENVIRO,4.4667,4.4667,4.4,4.4,4.5333
Mercado-Marta-SOCW-3306-002-SW PRACTIC III,3.5333,4.2143,3.8,4.4,4.4667
Mercado-Marta-SOCW-5317-002-HUMAN BEHAVIOR & DIVERSE POPS,4.5385,4.4615,4.3077,4.6923,4.6154
Mercado-Marta-SOCW-6343-003-Intimate Partner Violence,3.7368,3.5789,3.6316,4.1579,3.7895
Mercado-Marta-SOCW-6343-004-INTIMATE PARTNER VIOLENCE,3.2105,2.8421,3.0556,3.8947,3.2105
Messersmith-David-ARCH-5331-001-PROFESSIONAL PRACTICE,4.5,4.625,4.5,4.75,4.875
Messersmith-David-INTD-4332-001-PROF. PRACTICE INTERIOR DESIGN,4.2,3.4,4,4,4
Meyer-Connie-ENGL-2319-010-BRITISH LITERATURE,4.6667,4.4167,4.5,4.75,4.75
Michael-Jacqueline-NURS-3425-500-NURSU-3425-500-RN-BSN HOL HLTH ASSESS LIFESPA,4.1,4.1875,4.1646,4.1646,4.0385
Michael-Jacqueline-NURS-3425-503-RN-BSN HOL HLTH ASSESS LIFESPA,4.1591,4.3023,4.1364,4.1628,4.0455
Michael-Jacqueline-NURS-4585-500-RN-BSN CAPSTONE,4.0149,4.194,3.8955,4.2273,4.1515
Michael-Jacqueline-NURS-4585-501-NURSU-4585-501-RN-BSN CAPSTONE,4.1754,4.2632,4,4.3509,4.25
Michael-Jacqueline-NURS-4585-502-NURSU-4585-502-RN-BSN CAPSTONE,4.1622,4.2727,4.0909,4.3364,4.2636
Michael-Jacqueline-NURS-5347-400-ADV PRAC NURS WOMEN'S HEALTH,4.1,4.1,4,4.1,4
Michael-Jacqueline-NURS-5418-001-ADVANCED HEALTH ASSESSMENT,4,3.6667,3.5238,4.1429,3.7619
Michael-Jacqueline-NURS-5418-400-ADVANCED HEALTH ASSESSMENT,3.4375,3.5,3.0625,3.8125,3.4
Michael-Jacqueline-NURS-6302-001-HLTH OF CLTRLY DIV & VUL POPS,3.7778,4.1111,3.7778,4.6667,4.4444
Michael-Nancy-MAE-3324-001-STRUC & MECH BEHAVIOR MATERIAL,4.4444,4.6111,4.6111,4.6667,4.2222
Michalski-Jeanne-MANA-3319-004-MGT PROCESS THEORY,4.5625,4.625,4.4375,4.5,4.5625
Michalski-Jeanne-MANA-3320-004-PER/HUM RES MGT,3.7368,4,4.1111,3.8947,3.8421
Michalski-Jeanne-MANA-4328-002-HR STAFFING & PERFORMANCE MGMT,3.75,4,3.75,3.75,4
Michalski-Jeanne-MANA-5322-001-COMPENSATION & REWARD SYSTEMS,3.3913,3.6957,2.7826,3.7826,4
Middleton-Robert-NURS-3352-501-THE LEGACY OF THE FAMILY,4.1563,4.2031,3.9375,4.1429,4.0952
Middleton-Robert-NURS-4455-501-RN-BSN NURSING MANAGEMENT,3.9783,4.0326,3.7935,4.2333,4.0787
Middleton-Robert-NURS-5342-400-MNGMNT OF NURSING OPERATIONS,3.4615,3.3077,3.1667,3.4615,3.6667
Miletich-Marko-SPAN-3305-001-ADV SPANISH HERITAGE SPEAKERS,3.4118,3.4706,3.3529,3.4706,3.8824
Miletich-Marko-SPAN-3340-001-INTRODUCTION TO TRANSLATION,4.9286,5,4.8571,5,4.9286
Miller-Ashley-ENGL-2319-702-ENGL-2319-901-BRITISH LITERATURE,4.3182,4.25,4.3636,4.4419,4.25
Miller-Charles-BLAW-3310-001-LEGAL/ETHICAL BUS ENVIRONMENT,4.24,4.08,4.125,4.12,4.28
Miller-Charles-BLAW-3312-001-LAW II,4.5556,4.3333,4.4444,4.7778,4.6667
Miller-Charles-BLAW-4310-001 & BLAW-5331-001-INTERNATIONAL LAW BUSINESS,3.9375,4.0625,4.125,3.9333,4
Miller-Frederick-ART-1305-005-TWO-DIMENSIONAL DESIGN,4.75,4.75,4.75,4.75,5
Miller-Frederick-ART-1306-001-THREE-DIMENSIONAL DESIGN,5,5,5,5,4.8
Miller-Frederick-ART-1306-002-THREE-DIMENSIONAL DESIGN,5,5,5,5,5
Miller-Lindsey-BIOL-3446-005-HUMAN ANATOMY,4.375,4.625,4.75,4.375,4.875
Miller-Lindsey-BIOL-3446-006-HUMAN ANATOMY,4.25,4.75,4.875,3.625,4.75
Miller-Patrick-MAVS-1000-003-First Year Experience,4.5294,4.7059,4.5882,4.3529,4.3529
Miller-Sandra-SCIE-4101-001-SPECIAL TOPICS SCIENCE,5,5,5,5,5
Milligan-Daniel-INTD-3305-001-HISTORY OF INTERIOR DESIGN,4.5,4.25,4,4,3.5
Millsap-Richard-POLS-2311-001-GOVT OF U S,4.1667,4.1429,3.8537,4.1667,4.2143
Millsap-Richard-POLS-2311-010-GOVT OF U S,3.95,4.25,3.8,4,4.1053
Millsap-Richard-POLS-2312-002-STATE & LOCAL GOVT,4.1667,4.2083,3.8542,4.0625,4.0417
Millsap-Richard-POLS-2312-004-STATE & LOCAL GOVT,4.375,4.2083,4.0417,4.3191,4.2917
Milson-Andrew-HIST-3304-001 & GEOG-3304-001-HIST. GEOG. OF US TO 1850,4.6667,4.6667,4.6667,4.6667,4.5
Milson-Andrew-HIST-5301-001-19TH CENTURY US HISTORY,5,4.875,4.875,4.875,4.75
Mintz-Binder-Ronda-NURS 5327.400 & NURSG 5327.400 EXPLORATION OF SCIENCE AND THEORIES FOR NURSING,3.219,3.5288,2.566,4.1553,3.7333
Mintz-Binder-Ronda-NURS-5327-002-EXPLOR SCI & THEORIES-NURSING,4.5,4.5,4.5,5,4.5
Mintz-Binder-Ronda-NURS-5327-003-EXPLOR SCI & THEORIES-NURSING,3.25,4,3.5,3.75,4
Mintz-Binder-Ronda-NURS-5327-401& NURSG 5327-401 EXPLORATION OF SCIENCE AND THEORIES FOR NURSING,3.8182,3.9818,3.7091,4.1481,4.0182
Mintz-Binder-Ronda-NURS-5327-402-NURSG-5327-402-EXPLOR SCI & THEORIES-NURSING,3.7895,3.6316,3.4211,4.2105,3.8947
Mitchell-Cheryl-ART-1300-002-1ST YEAR ART SEMINAR,3.9286,4.1429,3.7143,4.3571,4.2143
Mitchell-Cheryl-ART-1309-001/002-ART OF WEST I,4.3333,4.6667,4.5333,4.4,4.6
Mitchell-Cheryl-ART-1310-001/002-ART OF WEST II,4.8235,4.8824,4.9375,4.7059,4.7059
Mitchell-Cheryl-ART-1317-001-NONWESTERN ART,4.5833,4.6667,4.5833,4.75,4.5
Mitchell-Glenda-MATH-1330-001-ARITHMETICAL PROBLEM SOLVING,4.7778,4.7778,4.5556,4.5556,4.6667
Mitchell-Glenda-MATH-1330-002-ARITHMETICAL PROBLEM SOLVING,4.3,4.4,4.4,4.5,4.6
Mitchell-Glenda-MATH-1330-502-ARITHMETICAL PROBLEM SOLVING,5,5,4,5,5
Mitchell-Glenda-MATH-1332-001-FUNCTIONS DATA & APPLICATION,4,4.1667,3.8333,4.3333,4.3333
Mitchell-Glenda-MATH-4350-001-PRECAL FOR MID-LEVEL MATH,4.625,4.625,4.125,4.875,4.75
Mitschke-Diane-SOCW-3301-004/005-HUMAN BEHAVIOR & SOCIAL ENVIRO,4.8235,4.8235,4.8235,4.7647,4.7647
Mitschke-Diane-SOCW-3317-006/007-HUMAN BEHAVIOR AND DIVERSE POP,4.6,4.6,4.6,4.5333,4.6429
Mitschke-Diane-SOCW-3317-008/009-HUMAN BEHAVIOR AND DIVERSE POP,4.4286,4.4286,4.4286,4.3571,4.2143
Mixson-Ann-ART-3322-001-INTRO TO ART EDUCATION,3.8889,3.7778,3.5556,4.3333,4.5556
Mixson-Ann-ART-3323-001-PLAN/ CONSTRUCT ART CURRICULA,3.8,3.7,3.6,4.2,4.4
Moake-Lindy-NURS-5313-400-CLINICAL PROCEDURES AP NURSES,4.5,4.3889,4.1667,4.4118,4.4118
Moake-Lindy-NURS-5441-001-ACUTE CARE PEDIATRIC NURSING,4.7143,4.7857,4.7857,4.7857,4.7143
Modares-Hamidreza-EE-5307-001/002-LINEAR SYSTEMS ENGINEERING,4.283,4.2075,4.1887,4.0943,4.4717
Mohanty-Samarendra-PHYS-1443-005-GENERAL TECHNICAL PHYSICS I,3.7778,3.9444,3.6111,3.9444,3.8333
Molash-Robert-CIRP-5316-001-LAND USE PLANNING AND THE LAW,4.8,4.7,4.6,4.6,4.7
Montgomery-Ronald-MUSI-0115-001 & MUSI-5205-001-MUSICAL THEATRE / OPERA LAB,4.5,4,4.25,4.75,4.25
Montgomery-Ronald-MUSI-4101-001-GER & ENG DICTION,4.6667,4.6667,4.6667,4.6667,4.6667
